Compound ID,InChIKey,SMILES,logS,logP,MW,Normalized_logS,Normalized_logP,Group,Avg_Similarity,Similarity_Grp
C29,FTOVXSOBNPWTSH-UHFFFAOYSA-N,c1ccc2c(c1)c1cc3ccccc3c3c1c2ccc3,-8.2299995,5.6404,252.309,0.5014483037958543,0.521391450969536,High logS High logP,0.16454113252869504,Most Similar
C1862,HQVZOORKDNCGCK-UHFFFAOYSA-N,Clc1ccc(c(c1)Cl)Cc1cc(ccc1O)C(CC(C)(C)C)(C)C,-8.224437629,7.0036,365.337,0.5017275465310748,0.5642750185602294,High logS High logP,0.1477619644226179,Most Similar
C1863,KBNIFDASRCWYGC-GXNXWABVSA-J,Cc1cc(ccc1N/N=C/1\C=Cc2c(C1=O)c(N)c(cc2S(=O)(=O)[O-])S(=O)(=O)[O-])c1ccc(c(c1)C)N/N=C/1\C=Cc2c(C1=O)c(N)c(cc2S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+],-8.212514549,7.738,960.805,0.5023261640595025,0.5873777856073285,High logS High logP,0.08125631696505552,Least Similar
C1864,BNXDKTBMUIPKNM-UHFFFAOYSA-L,CC[N+](C1c2ccccc2c2c1cccc2)(CCCCCCCCCC[N+](C1c2ccccc2c2c1cccc2)(CC)CC)CC.[Br-].[Br-],-8.198091315,5.3684,774.753,0.5030503058658993,0.5128348705817216,High logS High logP,0.14148231673090245,Most Similar
C1865,FIERVDLXKNFTPK-UHFFFAOYSA-N,CC(Nc1ccnc2c1ccc(c2)Cl)CN1CCN(CC1)CC(Nc1ccnc2c1ccc(c2)Cl)C,-8.19387684,6.0302,523.5,0.5032619004042334,0.5336537856576612,High logS High logP,0.1500806473870069,Most Similar
C30,FMMWHPNWAFZXNH-UHFFFAOYSA-N,c1ccc2c(c1)c1ccc3c4c1c(c2)ccc4ccc3,-8.1899996,5.7372,252.309,0.503456563513591,0.5244365869310817,High logS High logP,0.15591606209273867,Most Similar
C1866,BRZHTUISXPQTLF-QYEGGRDRSA-N,CC(CCC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2C[C@H]([C@@]2([C@]1(C)CC[C@@H](C2)OC(=O)CCC(=O)O)O)OC(=O)C)C)C,-8.180970934,6.5408,562.778,0.5039098623026556,0.5497162486944922,High logS High logP,0.07212303520243615,Least Similar
C31,ZXQYGBMAQZUVMI-XYRWEVSHSA-N,N#C[C@@H](c1cccc(c1)Oc1ccccc1)OC(=O)[C@@H]1[C@H](C1(C)C)/C=C(/C(F)(F)F)\Cl,-8.1800003,6.54398,449.85,0.5039585945535577,0.549816285185791,High logS High logP,0.14477708126290145,Most Similar
C1867,MRLUSTSQCUMQPV-UHFFFAOYSA-N,N(CC1CCC(CC1)CNCCC1CCCCC1)CCC1CCCCC1.Cl.Cl,-8.178152151,8.2986,435.557,0.5040513838652578,0.6050131494507429,High logS High logP,0.07044636556873136,Least Similar
C1868,MKUZQGZKPPDJFJ-UHFFFAOYSA-N,C1CCCCCC(C1)NCC1CCC(CC1)CNC1CCCCCCC1.Cl.Cl,-8.178152151,8.5836,435.557,0.5040513838652578,0.6139786840482692,High logS High logP,0.05983869125949854,Least Similar
