Compound ID,InChIKey,SMILES,logS,logP,MW,Normalized_logS,Normalized_logP,Group,Avg_Similarity,Similarity_Grp
C1869,QFLRLGOOCOLLPE-UHFFFAOYSA-L,C[N+](C1c2ccccc2c2c1cccc2)(CCCCCCCCCC[N+](C1c2ccccc2c2c1cccc2)(C)C)C.[Br-].[Br-],-8.165443184,3.808,718.646,0.5046894581224471,0.4637477822098627,High logS Low logP,0.09186555397191933,Least Similar
C1872,HWYDUXWJTPHYRD-UHFFFAOYSA-N,Clc1ccc(cc1)c1nc2c(o1)ccc(c2)C(c1n[nH]nn1)C,-8.14367658,3.8131,325.752,0.5057822857046443,0.4639082180921342,High logS Low logP,0.09635862092098722,Least Similar
C1875,JGWRCGHPVAOURY-UHFFFAOYSA-N,CCCCCCCCC=C([NH2+]Cc1ccccc1Cl)[NH2+]Cc1ccccc1Cl.[Cl-].[Cl-],-8.118242683,-0.5796,492.352,0.5070592356672734,0.3257225906305445,High logS Low logP,0.11648600484008637,Least Similar
C1877,CNCOQPXJERKGEX-UHFFFAOYSA-N,CC[NH+](CCOC(=O)C(c1ccc2c(c1)cccc2)c1ccc2c(c1)cccc2)CC.[Cl-],-8.101052559,1.5968,447.996,0.5079222936642209,0.3941878169395125,High logS Low logP,0.12774457974324557,Most Similar
C1878,JBCLGHRMQCEPFM-UHFFFAOYSA-N,CCOC(=O)c1c[nH]c2c(c1=O)cc(c(c2)OCC1CC1)OCC1CC1,-8.094372969,3.2824,357.4,0.5082576532908198,0.4472134489310566,High logS Low logP,0.1052229067098424,Least Similar
C1879,KFKRXESVMDBTNQ-AMPAVEGJSA-N,OC(=O)CCC1=C(C)/C/2=C/c3[nH]c(c(c3C)C(O)C)/C=c/3\[nH]/c(=C\C4=N/C(=C\C1=N2)/C(=C4C)CCC(=O)O)/c(C(O)C)c3C,-8.082604066,3.0569,598.689,0.5088485301134332,0.44011966629336485,High logS Low logP,0.07900354494980835,Least Similar
C1881,FBTUMDXHSRTGRV-WKBHQTPHSA-N,COc1cccc2c1C(=O)c1c(O)c3[C@@H](O[C@H]4C[C@H](N)[C@@H]([C@@H](O4)C)O)C[C@](Cc3c(c1C2=O)O)(O)/C(=N\NC(=O)c1ccccc1)/C,-8.04292561,3.337,645.656,0.5108406512149057,0.4489310566118458,High logS Low logP,0.10805938193353389,Least Similar
C34,HAPOJKSPCGLOOD-UHFFFAOYSA-N,c1ccc2c(c1)c1cc3ccccc3cc1C2,-8.04,4.411,216.277,0.5109875361999384,0.48271696593726005,High logS Low logP,0.12114356090215403,Most Similar
C1883,LPGWZGMPDKDHEP-HLTPFJCJSA-N,CC[C@@]12CN3CCc4c([C@@](C[C@@H]([C@H]2O1)C3)(C(=O)OC)c1cc2c(cc1OC)N([C@@H]1[C@@]32CCN2[C@H]3[C@@](CC)(C=CC2)[C@H]([C@]1(O)C(=O)OC)OC(=O)C)C)[nH]c1c4cccc1,-8.029412242,3.9481,808.958,0.5115191117261909,0.4681550502699097,High logS Low logP,0.09489901187667876,Least Similar
C1884,DFAXIWKIBAGXSH-UHFFFAOYSA-N,COc1ccc(cc1)CCCC[NH2+]CCSSCC[NH2+]CCCCc1ccc(cc1)OC.[Cl-].[Cl-],-8.021587696,-2.4344,549.66,0.5119119557218353,0.26737426230952166,High logS Low logP,0.09098064976184557,Least Similar
C1886,OXLHOZMVPXHJLA-UHFFFAOYSA-N,N#CC(c1cccc2c1cccc2)(C(C)C)CC[NH+](CC=C(C)C)CC=C(C)C.[Cl-],-8.012497131,2.46858,425.049,0.5123683622503759,0.42161228624278035,High logS Low logP,0.11633287304531585,Least Similar
C1887,GBABOYUKABKIAF-IELIFDKJSA-N,CCC1=C[C@@H]2CN(C1)Cc1c3ccccc3[nH]c1[C@@](C2)(C(=O)OC)c1cc2c(cc1OC)N([C@@H]1[C@@]32CCN2[C@H]3[C@@](CC)(C=CC2)[C@H]([C@]1(O)C(=O)OC)OC(=O)C)C,-7.968782462,4.6944,778.932,0.5145631279579624,0.49163216770897555,High logS Low logP,0.09655268141655979,Least Similar
C1888,ZTYGXAJTOOFVGB-UHFFFAOYSA-N,CC[NH+](CCCCCCCCCCCC1(c2ccccc2)C(=O)Oc2c1cccc2)CC.[Cl-],-7.946501933,2.7214,472.102,0.5156817579765517,0.42956550188118936,High logS Low logP,0.11586406538101258,Least Similar
C1892,UJFIOYBFWBTUIG-UHFFFAOYSA-N,FC(c1ccccc1C[NH2+]CC12CCC(CC1)(CC2)C[NH2+]Cc1ccccc1C(F)(F)F)(F)F.[Cl-].[Cl-],-7.901725612,-1.1002,557.442,0.5179298256410396,0.30934554743239673,High logS Low logP,0.09438348032648204,Least Similar
C1898,DTCVSBBTVQOZPW-DCXSSQDFSA-N,CCCCOc1ccc(c2c1cccc2)C(=N)[NH+](CCCC)CCCC.[Cl-],-7.894071769,1.9329,390.99,0.5183140992162931,0.404760856161367,High logS Low logP,0.12647229789931685,Most Similar
C1899,VRRFWYJFMGDZAJ-UHFFFAOYSA-N,C[NH+](CCOC(C1c2ccccc2c2c1cccc2)C1c2ccccc2c2c1cccc2)C.[Cl-],-7.884950343,2.1451,468.029,0.5187720551712859,0.4114362471845075,High logS Low logP,0.10226927801066331,Least Similar
C1905,FNCVZYRPXOZNSM-UHFFFAOYSA-N,O=C(c1ccccc1)Nc1ccc(c2c1C(=O)c1ccccc1C2=O)Cl,-7.843278409,4.4407,361.778,0.5208642620621128,0.4836512690163707,High logS Low logP,0.12067487927698013,Most Similar
