Compound ID,InChIKey,SMILES,logS,logP,MW,Normalized_logS,Normalized_logP,Group,Avg_Similarity,Similarity_Grp
C1711,ACTIUHUUMQJHFO-UPTCCGCDSA-N,COC1=C(OC)C(=O)C(=C(C1=O)C/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)\C)\C)\C)\C)\C)\C)\C)C,-18.21769274,17.8539,863.344,0.0,0.9056039309936957,Low logS High logP,0.0792025226725436,Least Similar
C1712,CQISYTXUORWJSX-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC(=O)Nc1ccc(cc1)NC(=O)CCCCCCCCCCCCCCCCC,-17.46845707,14.2326,641.065,0.037616589420286485,0.7916850171760768,Low logS High logP,0.12150370548807982,Most Similar
C1713,UXPYIAWFQKSHNV-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(=O)OCCCCOC(=O)CCCCCCCCCCCCCCC,-16.25939172,11.8156,566.939,0.09831967214090082,0.7156509921858287,Low logS High logP,0.09990273229612195,Least Similar
C1714,BDIWFCKBPZPBQT-UHFFFAOYSA-N,CCCC[Sn](S[Sn](CCCC)(CCCC)CCCC)(CCCC)CCCC,-15.67628661,10.4112,612.153,0.12759540792072688,0.6714713543305104,Low logS High logP,0.07647273177793207,Least Similar
C1715,RNPXCFINMKSQPQ-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCOP(=O)(OCCCCCCCCCCCCCCCC)O,-15.20512017,12.0826,546.846,0.15125108160494696,0.7240502824929848,Low logS High logP,0.09333846931685355,Least Similar
C1716,FTQWRYSLUYAIRQ-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC(=O)NCNC(=O)CCCCCCCCCCCCCCCCC,-14.93986516,12.4811,578.996,0.16456863868661126,0.7365863019214556,Low logS High logP,0.09277193973923989,Least Similar
C1717,YYGNTYWPHWGJRM-AAJYLUCBSA-N,C/C(=C\CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)/CC/C=C(/CCC=C(C)C)\C,-14.59236714,10.605,410.718,0.18201533919234464,0.6775679178568282,Low logS High logP,0.07110115494180941,Least Similar
C1718,RYROWNOHCUSOKT-UHFFFAOYSA-N,Brc1ccc(nc1)OCCCCCCCCCCNCCSSCCNCCCCCCCCCCOc1ccc(cn1)Br.Cl.Cl,-14.5490503,12.6474,849.694,0.18419013125111605,0.7418177700041524,Low logS High logP,0.13227954638369324,Most Similar
C1719,SPJCRMJCFSJKDE-ZWBUGVOYSA-N,ClCCN(c1ccc(cc1)CC(=O)O[C@H]1CC[C@]2(C(=CC[C@@H]3[C@@H]2CC[C@]2([C@H]3CC[C@@H]2[C@@H](CCCC(C)C)C)C)C1)C)CCCl,-14.52387178,10.4663,644.797,0.1854542595981426,0.6732046910193655,Low logS High logP,0.12610556519476138,Most Similar
C1720,MSCCTZZBYHQMQJ-AZAGJHQNSA-N,C[C@@H](CCC[C@]1(C)CCc2c(O1)c(C)c(c(c2C)OC(=O)c1cccnc1)C)CCC[C@@H](CCCC(C)C)C,-13.79857364,9.7488,535.8,0.22186902658284505,0.6506335644448918,Low logS High logP,0.12551550727180807,Most Similar
C1721,SYKKEUORZVAILP-XPXLQCACSA-N,CCCCCCCOc1ccc(c2c1cccc2)C(=N)[NH+](CCCCCCCC)CCCCCCCC.[Cl-],-13.61935865,6.224,545.282,0.23086680520808153,0.539750349183979,Low logS High logP,0.1563277907637616,Most Similar
C1722,XVQDYVLXIXMLOS-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCOC(=O)c1ccc(c(c1)N(CCCl)CCCl)C,-13.45141192,9.3072,514.611,0.23929884260279038,0.636741704521146,Low logS High logP,0.13439815047988274,Most Similar
