Compound ID,InChIKey,SMILES,logS,logP,MW,Normalized_logS,Normalized_logP,Group,Avg_Similarity,Similarity_Grp
C1731,PZPPOCZWRGNKIR-PNVYSBBASA-N,OC[C@]12SS[C@]3(N(C1=O)[C@H]1Nc4c([C@]1(C3)[C@@]13C[C@]56N([C@H]3Nc3c1cccc3)C(=O)[C@](SS5)(N(C6=O)C)CO)cccc4)C(=O)N2C,-11.97802288,1.3616,696.84,0.3132727239771649,0.3867888915453435,Low logS Low logP,0.12687695997354564,Least Similar
C1735,AVBZMYRNHKNVAW-DSPABWSOSA-N,CCCCCCCOc1ccc(c2c1cccc2)C(=N)[NH+](CCCCCC)CCCCCC.[Cl-],-11.53413709,4.6636,489.176,0.3355587284754951,0.49066326081212014,Low logS Low logP,0.4668633937614648,Most Similar
C1747,WIYZZHWXZCULNY-DHKWPOFJSA-N,CCCCCCOc1ccc(c2c1cccc2)C(=N)[NH+](CCCCCC)CCCCCC.[Cl-],-11.01502535,4.2735,475.149,0.3616215735437638,0.4783914887191554,Low logS Low logP,0.47557996965265875,Most Similar
C1748,ZLHXGWFOXJVXPN-DHKWPOFJSA-N,CCCCCCCCCCOc1ccc(c2c1cccc2)C(=N)[NH+](CCCC)CCCC.[Cl-],-11.01502535,4.2735,475.149,0.3616215735437638,0.4783914887191554,Low logS Low logP,0.4699430013341791,Most Similar
C1751,MYPYJXKWCTUITO-LYRMYLQWSA-N,OC[C@H]1O[C@@H](Oc2c3cc4cc2Oc2ccc(cc2Cl)[C@@H](O)[C@@H]2NC(=O)[C@H](NC(=O)[C@@H]4NC(=O)[C@H](CC(=O)N)NC(=O)[C@@H]([C@@H](c4ccc(O3)c(Cl)c4)O)NC(=O)[C@@H](CC(C)C)NC)c3ccc(c(c3)c3c(O)cc(cc3[C@H](NC2=O)C(=O)O)O)O)[C@@H]([C@H]([C@@H]1O)O)O[C@@H]1O[C@@H](C)[C@H]([C@@](C1)(C)N)O,-10.8755905,3.9326,1449.25,0.36862212585773635,0.4676674510198688,Low logS Low logP,0.10800266839090461,Least Similar
C1754,USDIZUOMBXWPLQ-FJBFXRHMSA-N,CCCCCCCCCOc1ccc(c2c1cccc2)C(=N)[NH+](CCCC)CCCC.[Cl-],-10.49356261,3.8834,461.123,0.38780245437203187,0.4661197166261906,Low logS Low logP,0.47990165352920944,Most Similar
C1755,CNYRGVIFIXLHHK-FJBFXRHMSA-N,CCCCCCC[NH+](C(=N)c1ccc(c2c1cccc2)OCCC)CCCCCCC.[Cl-],-10.49356261,3.8834,461.123,0.38780245437203187,0.4661197166261906,Low logS Low logP,0.4688305319875242,Most Similar
C1764,PXBIAYSAZBFYQQ-LXCLTORNSA-N,CCCCCCOc1ccc(c2c1cccc2)C(=N)[NH+](CCCCC)CCCCC.[Cl-],-9.974630214,3.4933,447.096,0.4138562951845195,0.4538479445332259,Low logS Low logP,0.48049878696178716,Most Similar
C1765,IQOILDYEBKDJQN-LXCLTORNSA-N,CCCCCC[NH+](C(=N)c1ccc(c2c1cccc2)OCCCC)CCCCCC.[Cl-],-9.974630214,3.4933,447.096,0.4138562951845195,0.4538479445332259,Low logS Low logP,0.48030927210725965,Most Similar
C1766,HWNQHNPAOQSMFI-LXCLTORNSA-N,CCCCCCCCOc1ccc(c2c1cccc2)C(=N)[NH+](CCCC)CCCC.[Cl-],-9.974630214,3.4933,447.096,0.4138562951845195,0.4538479445332259,Low logS Low logP,0.48367660770424736,Most Similar
C1767,SRGLANFDNQAVFW-LXCLTORNSA-N,CCCCCCC[NH+](C(=N)c1ccc(c2c1cccc2)OCC)CCCCCCC.[Cl-],-9.974630214,3.4933,447.096,0.4138562951845195,0.4538479445332259,Low logS Low logP,0.4562707847383231,Most Similar
