Actual Smile,Prompt,Generated Smile,Similarity
OC[C@H]1O[C@@H](Oc2c3cc4cc2Oc2ccc(cc2Cl)[C@@H](O)[C@@H]2NC(=O)[C@H](NC(=O)[C@@H]4NC(=O)[C@H](CC(=O)N)NC(=O)[C@@H]([C@@H](c4ccc(O3)c(Cl)c4)O)NC(=O)[C@@H](CC(C)C)NC)c3ccc(c(c3)c3c(O)cc(cc3[C@H](NC2=O)C(=O)O)O)O)[C@@H]([C@H]([C@@H]1O)O)O[C@@H]1O[C@@H](C)[C@H]([C@@](C1)(C)N)O,[O][C][C@Hexpl][O][C@@Hexpl][Branch2_1][O][Branch1_1][O][C][=C][C][=C][C][=C][Ring1][Branch1_2][O][C][=C][C][=C],OCOOOC1=CC=CC=C1OC=CC=CCCOC(=O)C2=CC=CC=C2NC(=O)C(=O)NC3=CC=C(Cl)C=C3C(=O)C4=CC=C(Cl)C=C4CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,0.11178861788617886
CCCCCCCCCOc1ccc(c2c1cccc2)C(=N)[NH+](CCCC)CCCC.[Cl-],[C][C],CCCCCCCCCCCCC,0.3368421052631579
CCCCCCC[NH+](C(=N)c1ccc(c2c1cccc2)OCC)CCCCCCC.[Cl-],[C][C][C][C][C][C][C][NH+expl][Branch2_1][,CCCCCCC[NH+](O)C(=O)C1=CC=CC=C1NC(=O)C(C)OC2=CC=C(Cl)C=C2C,0.3515625
CCOc1cc(C[N+]2(CCCCC2)CCOCCC2CCC3CC2C3(C)C)c(cc1OCC)Br.[Br-],[C][C][O][C][=C][C][Branch2_1][Ring,CCOC=CCCCCCCCC(C)CCCCC(C)CCCCC(C)CCCCC,0.08771929824561403
CCCCCCC[NH+](C(=N)c1ccc(c2c1cccc2)OC)CCCCCCC.[Cl-],[C][C][C][C][C][C][C][NH+expl][Branch2_1][,CCCCCCC[NH+](C)CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,0.22727272727272727
CCCCCOc1ccc(c2c1cccc2)C(=N)[NH+](CCCCC)CCCCC.[Cl-],[C][C][C][C][C][O][C],CCCCCOCCCCCCCCCCCCCCCCCCCCCC,0.22962962962962963
CCCCCCCCCOc1ccc(c2c1cccc2)C(=N)[NH+](CCC)CCC.[Cl-],[C][C][C][C][C][C][C],CCCCCCCCCCCCCCCCCCCCCCCCCCCC,0.22058823529411764
O=C(O[C@H]1CC[C@]2([C@H](C1(C)C)CC[C@@]1([C@@H]2C(=O)C=C2[C@@]1(C)CC[C@@]1([C@H]2C[C@](C)(CC1)C(=O)[O-])C)C)C)CCC(=O)[O-].[Na+].[Na+],[O][=C][Branch2_1][Branch1_2][Ring2][O][C@Hexpl][C][C][C@expl][Branch2_1][Branch1_1][O][C@Hexp,O=C(OCC(CCOC(=O)C=CC=C(NC(=O)C(C)SC=C2C=C([N-]S(=O)(=O)C1=CC=C(Cl)C=C1)C=C2Cl)C#C)C)C=O,0.09004739336492891
CCCCOc1ccc(c2c1cccc2)C(=N)[NH+](CCCCC)CCCCC.[Cl-],[C][C][C][C][O][C][=C][C][=C],CCCCOC=CC=CCCCCCCCCCCCCCCCCCCCCCCCCCCC,0.1761006289308176
O=C1N[C@H](C(C)C)C(=O)N2CCC[C@H]2C(=O)N(C)CC(=O)N([C@H](C(=O)O[C@@H]([C@@H]1NC(=O)c1c2nc3c(ccc(c3oc2c(c(=O)c1N)C)C)C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C(=O)[C@H]2N(C(=O)[C@H](NC1=O)C(C)C)CCC2)C)C)C(C)C)C,[O][=C][N][C@Hexpl][Branch1_1][Branch1_2][C][Branch1_1][C][C][C][C][Branch1_2][C][=O][N][C][C][C][C@Hexpl][Ring1][Branch1_1][C],O=CN(C(C)C)C(=O)NCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,0.03225806451612903
CC[N+]1(CCCCCCCCCC[N+]2(CC)CCCCC2)CCCCC1.[Br-].[Br-],[C][C][N+expl][Branch2_1][Ring1][,CC[N+](CCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC,0.19607843137254902
CO[C@H]([C@@H]([C@H]1O[C@@]2(CC[C@@](O2)(C)[C@H]2CC[C@@](O2)(CC)[C@@H]2O[C@H](C[C@@H]2C)[C@H]2O[C@@](O)(CO)[C@@H](C[C@@H]2C)C)C[C@@H]([C@H]1C)O)C)[C@@H](C(=O)O)C,[C][O][C@Hexpl][Branch2_1][Branch1_2][O][C@@Hexpl][Branch2_1],COOCCOC(=O)C=CC=C(NC(=O)C(C)SC=CC=C(CNC(=O)C(=CC1=CC=CC=C1O)CNC(=O)C=CC=C)),0.05084745762711865
